Batiment ou Zone;Lot;Sous-Lot;Libellé;Id Fiche;Nature des données;Quantité;Unité fonctionnelle;Durée de vie;Taux de renouvellement;DE Total (kgeqCO2);DE Bénéf. charges hors cycle (kgeqCO2); Total kgeqCO2; kgeqCO2 par m²
Maison individuelle;1;1;Gaine Telecom Ø 40 verte compris av;13750;DED (par défaut);26,0;mL;50;1,00;26,9;0,0;659,7;8,3
Maison individuelle;1;1;Gaine Telecom Ø 40 pour fibre optiq;13750;DED (par défaut);26,0;mL;50;1,00;26,9;0,0;659,7;8,3
Maison individuelle;1;1;Gaine EDF Ø 90 rouge et sortie noir;13750;DED (par défaut);26,0;mL;50;1,00;26,9;0,0;659,7;8,3
Maison individuelle;1;1;Tuyau PVC 125 CR8 Eaux Usées;10623;FDES collective;14,0;m;100;1,00;2,8;0,0;39,4;0,5
Maison individuelle;1;1;Tuyau PVC 125 CR8 Eaux Pluviales;10623;FDES collective;3,0;m;100;1,00;2,8;0,0;8,4;0,1
Maison individuelle;1;1;Regard EP EU;26924;FDES collective;2,0;U.;100;1,00;228,0;0,0;516,9;6,5
Maison individuelle;1;1;Canalisations EU Ø100 PVC NF posées;10623;FDES collective;28,0;m;100;1,00;2,8;0,0;78,7;1,0
Maison individuelle;1;1;Gaine Ø 90 rouge en vide sanitaire;13750;DED (par défaut);7,0;mL;50;1,00;26,9;0,0;177,6;2,2
Maison individuelle;1;1;TOTAL SOUS-LOT;;;;;;;;;2800,2;35,2
Maison individuelle;1;;TOTAL LOT;;;;;;;;;2800,2;35,2
Maison individuelle;2;1;LONGRINE  20*20 sous plancher;12458;FDES collective;24,0;m;100;1,00;29,0;-1,1;707,2;8,9
Maison individuelle;2;1;Béton cyclopéen XC1  C20/25;11024;FDES collective;21,0;m3;100;1,00;275,2;-14,2;5689,2;71,6
Maison individuelle;2;1;Dallage 12 cm béton sur 15 cm pierr;27741;FDES individuelle;61,0;m²;50;1,00;31,2;-0,2;1883,8;23,7
Maison individuelle;2;1;Arase sanitaire;6396;DED (par défaut);33,0;m²;30;1,67;3,3;0,0;152,9;1,9
Maison individuelle;2;1;TOTAL SOUS-LOT;;;;;;;;;8433,2;106,1
Maison individuelle;2;2;Agglo 20 cm (VS);26903;FDES collective;16,0;m²;100;1,00;13,2;-0,4;252,5;3,2
Maison individuelle;2;2;Poteaux raidisseurs (VS/Sous-sol);18615;FDES collective;1,0;m;100;1,00;21,2;-1,3;21,2;0,3
Maison individuelle;2;2;Poteaux porteurs 20x20 (VS/Sous-sol;18615;FDES collective;8,0;m;100;1,00;21,2;-1,3;170,0;2,1
Maison individuelle;2;2;Ventilation vide sanitaire PVC Ø 10;11169;DED (par défaut);7,0;U.;17;2,94;13,5;0,0;240,4;3,0
Maison individuelle;2;2;Delta MS (VS);5719;DED (par défaut);13,0;m²;60;1,00;10,5;0,0;129,4;1,6
Maison individuelle;2;2;Delta MS (contre crépis ou sur banc;5719;DED (par défaut);9,0;m²;60;1,00;10,5;0,0;89,6;1,1
Maison individuelle;2;2;TOTAL SOUS-LOT;;;;;;;;;903,0;11,4
Maison individuelle;2;;TOTAL LOT;;;;;;;;;9336,2;117,5
Maison individuelle;3;1;Béton armé pour dalle de compression, C2530 XC1XC2 CEM IIA;24257;FDES collective;4,0;m3;100;1,00;234,1;-8,2;923,4;11,6
Maison individuelle;3;1;12+5 UP 0,23 M4 Rupteurs totaux;25928;FDES individuelle;92,0;m²;100;1,00;10,2;0,0;940,4;11,8
Maison individuelle;3;1;TOTAL SOUS-LOT;;;;;;;;;1863,7;23,5
Maison individuelle;3;2;Poutrelle en béton précontaint (hauteur = 12 cm);16393;FDES collective;157,0;m;100;1,00;2,9;0,0;482,0;6,1
Maison individuelle;3;2;Poutre industrielle 20*20 (Vs Sous-;12459;FDES collective;12,0;m;100;1,00;18,2;-1,2;219,7;2,8
Maison individuelle;3;2;Linteau béton armé;12459;FDES collective;24,0;m;100;1,00;18,2;-1,2;439,3;5,5
Maison individuelle;3;2;Poutre coffrée hors 20x20;11068;FDES collective;1,0;m3;100;1,00;204,8;-5,3;213,1;2,7
Maison individuelle;3;2;TOTAL SOUS-LOT;;;;;;;;;1354,1;17,0
Maison individuelle;3;3;brique OPTIBRIC BGV3+ (Rdc);30534;FDES individuelle;127,0;m²;100;1,00;20,3;-0,2;2493,2;31,4
Maison individuelle;3;3;brique OPTIBRIC BGV3+ (Combles);30534;FDES individuelle;50,0;m²;100;1,00;20,3;-0,2;981,6;12,4
Maison individuelle;3;3;Poteaux raidisseurs;18615;FDES collective;39,0;m;100;1,00;21,2;-1,3;828,5;10,4
Maison individuelle;3;3;Poteaux porteurs 20x20;18615;FDES collective;5,0;m;100;1,00;21,2;-1,3;106,2;1,3
Maison individuelle;3;3;Chaînage (RDC);18615;FDES collective;53,0;m;100;1,00;21,2;-1,3;1126,0;14,2
Maison individuelle;3;3;Chaînage rampant pignon;18615;FDES collective;32,0;m;100;1,00;21,2;-1,3;679,8;8,6
Maison individuelle;3;3;TOTAL SOUS-LOT;;;;;;;;;6215,4;78,2
Maison individuelle;3;8;Seuil de portail ou porte de servic;8709;DED (par défaut);5,0;mL;50;1,00;42,1;0,0;192,2;2,4
Maison individuelle;3;8;Appuis ou seuil;13345;DED (par défaut);11,0;mL;50;1,00;36,0;0,0;348,6;4,4
